Precinct,Political Party,Count of Voters by Party
,GREEN,2
,INDEPENDENT,2
,NO AFFILIATION,7
,DEMOCRATIC,145
,REPUBLICAN,3
,Count of Voters in 3602:,160
3603,,
,DEMOCRATIC,168
,LIBERTARIAN,2
,NONE,1
,REPUBLICAN,9
,NO PARTY,2
,INDEPENDENT,2
,NO AFFILIATION,9
,Count of Voters in 3603:,193
3604,,
,REPUBLICAN,3
,INDEPENDENT,1
,AMERICAN,1
,DEMOCRATIC,130
,NO AFFILIATION,3
,Count of Voters in 3604:,138
3605,,
,REPUBLICAN,5
,NO AFFILIATION,9
,DEMOCRATIC,217
,NONE,1
,LIBERTARIAN,1
,Count of Voters in 3605:,233
3606,,
,NO AFFILIATION,12
,LIBERTARIAN,1
,REPUBLICAN,3
,DEMOCRATIC,232
,Count of Voters in 3606:,248
3607,,
,DEMOCRATIC,173
,GREEN,1
,NON-PARTISAN,1
,NO AFFILIATION,8
,LIBERAL,1
,INDEPENDENT,3
,LIBERTARIAN,1
,REPUBLICAN,6
,Count of Voters in 3607:,194
3608,,
,NO AFFILIATION,4
,UNKNOWN,1
,DEMOCRATIC,186
,REPUBLICAN,4
,Count of Voters in 3608:,195
3609,,
,CONSTITUTIONAL,1
,REPUBLICAN,3
,UNKNOWN,2
,LIBERTARIAN,1
,NO AFFILIATION,6
,DEMOCRATIC,172
,Count of Voters in 3609:,185
3610,,
,NO AFFILIATION,3
,DEMOCRATIC,207
,OTHER,1
,REPUBLICAN,4
,INDEPENDENT,1
,CONSTITUTIONAL,1
,Count of Voters in 3610:,217
3611,,
,NO AFFILIATION,7
,DEMOCRATIC,217
,NONE,1
,REPUBLICAN,6
,INDEPENDENT,2
,NO PARTY,2
,Count of Voters in 3611:,235
3612,,
,INDEPENDENT,1
,NO AFFILIATION,3
,DEMOCRATIC,133
,REPUBLICAN,3
,Count of Voters in 3612:,140
3613,,
,GREEN,1
,DEMOCRATIC,181
,INDEPENDENT,2
,NO AFFILIATION,2
,REPUBLICAN,6
,Count of Voters in 3613:,192
3614,,
,NO PARTY,1
,REPUBLICAN,13
,DEMOCRATIC,124
,NO AFFILIATION,7
,Count of Voters in 3614:,145
3615,,
,INDEPENDENT,1
,REPUBLICAN,5
,DEMOCRATIC,203
,NO AFFILIATION,4
,LIBERTARIAN,1
,NON-PARTISAN,1
,Count of Voters in 3615:,215
3616,,
,INDEPENDENT,1
,NO AFFILIATION,4
,REPUBLICAN,3
,DEMOCRATIC,198
,Count of Voters in 3616:,206
3617,,
,DEMOCRATIC,174
,INDEPENDENT DEMOCRAT,1
,NO AFFILIATION,7
,UNKNOWN,1
,INDEPENDENT,2
,Count of Voters in 3617:,185
3618,,
,LIBERAL,1
,DEMOCRATIC,186
,REPUBLICAN,4
,Count of Voters in 3618:,191
3619,,
,OTHER,1
,REPUBLICAN,3
,INDEPENDENT,1
,NO AFFILIATION,5
,DEMOCRATIC,225
,Count of Voters in 3619:,235
3620,,
,INDEPENDENT,1
,DEMOCRATIC,157
,INDEPENDENCE,1
,NON-PARTISAN,1
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,3
,Count of Voters in 3620:,165
3621,,
,REPUBLICAN,6
,NO AFFILIATION,5
,DEMOCRATIC,186
,Count of Voters in 3621:,197
3622,,
,REPUBLICAN,3
,DEMOCRATIC,171
,NO AFFILIATION,7
,Count of Voters in 3622:,181
3623,,
,INDEPENDENT,1
,REPUBLICAN,4
3623,,
,NO PARTY,1
,DEMOCRATIC,149
,NO AFFILIATION,9
,Count of Voters in 3623:,164
3624,,
,DEMOCRATIC,119
,NO AFFILIATION,2
,INDEPENDENT,1
,REPUBLICAN,6
,Count of Voters in 3624:,128
3625,,
,NO PARTY,1
,REPUBLICAN,11
,DEMOCRATIC,168
,OTHER,1
,Count of Voters in 3625:,181
3626,,
,NO AFFILIATION,5
,DEMOCRATIC,124
,OTHER,1
,NO PARTY,1
,REPUBLICAN,13
,Count of Voters in 3626:,144
3627,,
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,20
,NO AFFILIATION,4
,DEMOCRATIC,146
,Count of Voters in 3627:,172
3628,,
,INDEPENDENT,1
,REPUBLICAN,11
,NO AFFILIATION,3
,DEMOCRATIC,234
,NO PARTY,1
,Count of Voters in 3628:,250
3629,,
,REPUBLICAN,12
,NON-PARTISAN,1
,INDEPENDENCE,1
,DEMOCRATIC,77
,GREEN,2
,SOCIALIST PARTY USA,1
,NO AFFILIATION,11
,Count of Voters in 3629:,105
3630,,
,DEMOCRATIC,144
,NO AFFILIATION,10
,LIBERTARIAN,1
,REPUBLICAN,5
,Count of Voters in 3630:,160
3631,,
,NON-PARTISAN,2
,SOCIALIST,1
,INDEPENDENT,1
,REPUBLICAN,9
,GREEN,2
,NO AFFILIATION,9
,DEMOCRATIC,113
,Count of Voters in 3631:,137
3632,,
,REPUBLICAN,8
,NO PARTY,1
,DEMOCRATIC,216
,NO AFFILIATION,7
,Count of Voters in 3632:,232
3633,,
,REPUBLICAN,24
,INDEPENDENT,1
,NO PARTY,1
,UNKNOWN,1
,DEMOCRATIC,186
,NON-PARTISAN,1
,NO AFFILIATION,5
,Count of Voters in 3633:,219
3634,,
,DEMOCRATIC,108
,NO AFFILIATION,9
,GREEN,1
,NON-PARTISAN,1
,NO PARTY,1
,REPUBLICAN,8
,INDEPENDENT,2
,Count of Voters in 3634:,130
3635,,
,REPUBLICAN,15
,NO AFFILIATION,18
,INDEPENDENT,1
,DEMOCRATIC,231
,Count of Voters in 3635:,265
3636,,
,NON-PARTISAN,1
,NO AFFILIATION,13
,DEMOCRATIC,226
,REPUBLICAN,3
,INDEPENDENT,4
,Count of Voters in 3636:,247
3637,,
,INDEPENDENT,1
,REPUBLICAN,17
,CONSUMER'S,1
,DEMOCRATIC,227
,NO AFFILIATION,15
,GREEN,2
,Count of Voters in 3637:,263
3638,,
,REPUBLICAN,7
,GREEN,1
,NON-PARTISAN,1
,NO AFFILIATION,10
,DEMOCRATIC,199
,Count of Voters in 3638:,218
3639,,
,REPUBLICAN,8
,INDEPENDENT,2
,NO AFFILIATION,14
,NON-PARTISAN,2
,DEMOCRATIC,203
,Count of Voters in 3639:,229
3640,,
,REPUBLICAN,9
,INDEPENDENCE,1
,DEMOCRATIC,256
,LIBERTARIAN,1
,NO AFFILIATION,8
,NON-PARTISAN,1
,INDEPENDENT,3
,Count of Voters in 3640:,279
3641,,
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,10
,DEMOCRATIC,95
,INDEPENDENT,1
,GREEN,1
,NO AFFILIATION,16
,Count of Voters in 3641:,125
3701,,
,DEMOCRATIC,87
,REPUBLICAN,3
,NO AFFILIATION,4
,Count of Voters in 3701:,94
3702,,
,REPUBLICAN,1
,DEMOCRATIC,129
3702,,
,NO AFFILIATION,4
,Count of Voters in 3702:,134
3703,,
,NO AFFILIATION,4
,INDEPENDENT,2
,DEMOCRATIC,123
,REPUBLICAN,2
,Count of Voters in 3703:,131
3704,,
,NO PARTY,2
,DEMOCRATIC,120
,REPUBLICAN,3
,NO AFFILIATION,2
,Count of Voters in 3704:,127
3705,,
,GREEN,1
,NO AFFILIATION,1
,DEMOCRATIC,157
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,9
,Count of Voters in 3705:,170
3706,,
,UNKNOWN,1
,DEMOCRATIC,94
,NO AFFILIATION,2
,Count of Voters in 3706:,97
3707,,
,NO AFFILIATION,6
,INDEPENDENT,2
,OTHER,1
,DEMOCRATIC,175
,REPUBLICAN,4
,Count of Voters in 3707:,188
3708,,
,DEMOCRATIC,163
,LIBERTARIAN,1
,NO AFFILIATION,3
,REPUBLICAN,5
,NO PARTY,1
,UNKNOWN,1
,Count of Voters in 3708:,174
3709,,
,DEMOCRATIC,132
,LIBERTARIAN,1
,NO AFFILIATION,4
,REPUBLICAN,8
,NO PARTY,1
,Count of Voters in 3709:,146
3710,,
,NO AFFILIATION,4
,DEMOCRATIC,193
,REPUBLICAN,4
,Count of Voters in 3710:,201
3711,,
,NO AFFILIATION,4
,DEMOCRATIC,197
,GREEN,1
,INDEPENDENT,1
,REPUBLICAN,3
,Count of Voters in 3711:,206
3712,,
,NO AFFILIATION,3
,DEMOCRATIC,160
,REPUBLICAN,1
,Count of Voters in 3712:,164
3713,,
,NO PARTY,1
,REPUBLICAN,1
,NO AFFILIATION,5
,DEMOCRATIC,151
,INDEPENDENT,1
3713,,
,OTHER,1
,Count of Voters in 3713:,160
3714,,
,NO AFFILIATION,8
,DEMOCRATIC,229
,LIBERTARIAN,1
,INDEPENDENT,3
,REPUBLICAN,5
,Count of Voters in 3714:,246
3715,,
,INDEPENDENT,1
,REPUBLICAN,6
,NO AFFILIATION,2
,DEMOCRATIC,133
,OTHER,1
,Count of Voters in 3715:,143
3716,,
,LIBERTARIAN,1
,DEMOCRATIC,117
,INDEPENDENT,1
,REPUBLICAN,7
,Count of Voters in 3716:,126
3717,,
,INDEPENDENT,2
,REPUBLICAN,4
,DEMOCRATIC,122
,NO AFFILIATION,6
,Count of Voters in 3717:,134
3718,,
,REPUBLICAN,4
,UNKNOWN,1
,DEMOCRATIC,170
,NO AFFILIATION,3
,Count of Voters in 3718:,178
3719,,
,REPUBLICAN,7
,OTHER,1
,DEMOCRATIC,107
,NO AFFILIATION,6
,Count of Voters in 3719:,121
3720,,
,DEMOCRATIC,119
,REPUBLICAN,3
,NO AFFILIATION,7
,Count of Voters in 3720:,129
3721,,
,INDEPENDENT,2
,DEMOCRATIC,197
,REPUBLICAN,6
,NO AFFILIATION,8
,NO PARTY,1
,Count of Voters in 3721:,214
3801,,
,REPUBLICAN,6
,DEMOCRATIC,165
,UNKNOWN,1
,NO AFFILIATION,1
,Count of Voters in 3801:,173
3802,,
,DEMOCRATIC,322
,INDEPENDENT,2
,REPUBLICAN,7
,NO AFFILIATION,4
,UNKNOWN,1
,Count of Voters in 3802:,336
3803,,
,REPUBLICAN,10
,DEMOCRATIC,325
,NO AFFILIATION,9
,LIBERTARIAN,1
,Count of Voters in 3803:,345
3804,,
,NO AFFILIATION,4
,DEMOCRATIC,234
,REPUBLICAN,6
,Count of Voters in 3804:,244
3805,,
,REPUBLICAN,4
,DEMOCRATIC,206
,INDEPENDENCE,1
,NO AFFILIATION,1
,Count of Voters in 3805:,212
3806,,
,REPUBLICAN,4
,DEMOCRATIC,280
,CONSTITUTIONAL,2
,LIBERTARIAN,1
,NO AFFILIATION,3
,INDEPENDENT,1
,Count of Voters in 3806:,291
3807,,
,REPUBLICAN,7
,DEMOCRATIC,264
,OTHER,2
,NO AFFILIATION,7
,Count of Voters in 3807:,280
3808,,
,NO AFFILIATION,4
,DEMOCRATIC,260
,NO PARTY,1
,Count of Voters in 3808:,265
3809,,
,INDEPENDENT,4
,REPUBLICAN,18
,DEMOCRATIC,307
,NO PARTY,1
,NO AFFILIATION,24
,NON-PARTISAN,1
,Count of Voters in 3809:,355
3810,,
,DEMOCRATIC,265
,NO AFFILIATION,3
,OTHER,2
,INDEPENDENCE,1
,PRO-LIFE,1
,REPUBLICAN,3
,Count of Voters in 3810:,275
3811,,
,INDEPENDENT,1
,REPUBLICAN,28
,NO AFFILIATION,11
,DEMOCRATIC,248
,Count of Voters in 3811:,288
3812,,
,INDEPENDENT,3
,REPUBLICAN,17
,LIBERTARIAN,1
,NO AFFILIATION,30
,DEMOCRATIC,147
,Count of Voters in 3812:,198
3813,,
,REPUBLICAN,37
,NO PARTY,2
,NON-PARTISAN,4
,OTHER,1
,DEMOCRATIC,243
,LIBERTARIAN,1
,INDEPENDENT,1
,NO AFFILIATION,17
,Count of Voters in 3813:,306
3814,,
,INDEPENDENT,3
,NO AFFILIATION,27
,DEMOCRATIC,176
,GREEN,2
,LIBERTARIAN,1
,REPUBLICAN,29
,NO PARTY,1
,Count of Voters in 3814:,239
3815,,
,INDEPENDENCE,1
,INDEPENDENT,4
,INDEPENDENT REPUBLICAN,1
,REPUBLICAN,15
,LIBERTARIAN,4
,NO AFFILIATION,19
,NO PARTY,1
,NON-PARTISAN,1
,DEMOCRATIC,180
,Count of Voters in 3815:,226
3816,,
,REPUBLICAN,28
,DEMOCRATIC,159
,GREEN,2
,INDEPENDENT,5
,NO AFFILIATION,27
,Count of Voters in 3816:,221
3817,,
,REPUBLICAN,9
,INDEPENDENT,1
,NO AFFILIATION,13
,DEMOCRATIC,220
,GREEN,1
,Count of Voters in 3817:,244
3818,,
,DEMOCRATIC,262
,INDEPENDENT,3
,LIBERTARIAN,2
,NONE,1
,REPUBLICAN,34
,INDEPENDENCE,1
,NO AFFILIATION,21
3818,,
,NON-PARTISAN,1
,Count of Voters in 3818:,325
3819,,
,INDEPENDENT,3
,REPUBLICAN,9
,NO AFFILIATION,6
,NON-PARTISAN,2
,DEMOCRATIC,155
,GREEN,1
,Count of Voters in 3819:,176
3820,,
,NO AFFILIATION,10
,DEMOCRATIC,137
,NO PARTY,1
,INDEPENDENT,2
,REPUBLICAN,43
,Count of Voters in 3820:,193
3821,,
,REPUBLICAN,2
,NO AFFILIATION,4
,DEMOCRATIC,254
,Count of Voters in 3821:,260
3901,,
,INDEPENDENT,1
,DEMOCRATIC,108
,NO AFFILIATION,10
,NO PARTY,1
,REPUBLICAN,16
,Count of Voters in 3901:,136
3902,,
,NO AFFILIATION,4
,DEMOCRATIC,110
,REPUBLICAN,10
,Count of Voters in 3902:,124
3903,,
,NO AFFILIATION,6
,LIBERTARIAN,1
,REPUBLICAN,24
,DEMOCRATIC,235
,Count of Voters in 3903:,266
3904,,
,DEMOCRATIC,92
,GREEN,2
,REPUBLICAN,19
,NO AFFILIATION,7
,Count of Voters in 3904:,120
3905,,
,INDEPENDENT,2
,REPUBLICAN,10
,DEMOCRATIC,148
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,1
,NO AFFILIATION,7
,Count of Voters in 3905:,169
3906,,
,DEMOCRATIC,231
,INDEPENDENT,1
,NO AFFILIATION,4
,NO PARTY,1
,REPUBLICAN,18
,Count of Voters in 3906:,255
3907,,
,INDEPENDENT,2
,DEMOCRATIC,353
,REPUBLICAN,30
,LIBERTARIAN,1
,NO AFFILIATION,8
,Count of Voters in 3907:,394
3908,,
,NO AFFILIATION,10
,UNKNOWN,1
,LIBERTARIAN,1
,REPUBLICAN,16
,DEMOCRATIC,187
,INDEPENDENT,3
,Count of Voters in 3908:,218
3909,,
,REPUBLICAN,4
,UNKNOWN,1
,NO AFFILIATION,8
,GREEN,1
,DEMOCRATIC,151
,Count of Voters in 3909:,165
3910,,
,CONSTITUTIONAL,1
,DEMOCRATIC,174
,LIBERTARIAN,1
,REPUBLICAN,12
,NO AFFILIATION,15
,INDEPENDENT,3
,OTHER,2
,Count of Voters in 3910:,208
3911,,
,LIBERTARIAN,1
,REPUBLICAN,2
,DEMOCRATIC,54
,NO AFFILIATION,7
,Count of Voters in 3911:,64
3912,,
,DEMOCRATIC,81
,REPUBLICAN,20
,INDEPENDENT,2
,NO AFFILIATION,7
,Count of Voters in 3912:,110
3913,,
,NO AFFILIATION,10
,NO PARTY,1
,DEMOCRATIC,146
,LIBERTARIAN,1
,REPUBLICAN,8
,Count of Voters in 3913:,166
3914,,
,REPUBLICAN,72
,DEMOCRATIC,76
,NO AFFILIATION,1
,NON-PARTISAN,1
,UNKNOWN,1
,Count of Voters in 3914:,151
3915,,
,INDEPENDENT,1
,REPUBLICAN,19
,NO AFFILIATION,7
,LIBERTARIAN,1
,DEMOCRATIC,282
,Count of Voters in 3915:,310
3916,,
,OTHER,1
,REPUBLICAN,13
,NON-PARTISAN,1
,NO AFFILIATION,2
,DEMOCRATIC,54
,Count of Voters in 3916:,71
3917,,
,LIBERTARIAN,1
,REPUBLICAN,20
,DEMOCRATIC,96
,INDEPENDENT,1
,GREEN,2
,NO AFFILIATION,8
,Count of Voters in 3917:,128
3918,,
,NO AFFILIATION,12
,UNKNOWN,1
,GREEN,1
,DEMOCRATIC,92
,REPUBLICAN,23
,Count of Voters in 3918:,129
3919,,
,DEMOCRATIC,79
,GREEN,1
,NO AFFILIATION,7
,NON-PARTISAN,1
,UNKNOWN,1
,REPUBLICAN,10
,Count of Voters in 3919:,99
3920,,
,DEMOCRATIC SOCIALIST,2
,GREEN,1
,NO PARTY,2
,UNKNOWN,1
,NO AFFILIATION,13
,DEMOCRATIC,285
,REPUBLICAN,19
,Count of Voters in 3920:,323
3921,,
,DEMOCRATIC,292
,REPUBLICAN,18
,NO AFFILIATION,7
,NO PARTY,1
,Count of Voters in 3921:,318
3922,,
,INDEPENDENT,2
,SOCIALIST,1
,GREEN,1
,DEMOCRATIC,148
,LIBERTARIAN,2
,REPUBLICAN,15
,NO AFFILIATION,5
,Count of Voters in 3922:,174
3923,,
,LIBERTARIAN,1
,REPUBLICAN,11
,NO AFFILIATION,6
,NO PARTY,1
,DEMOCRATIC,86
,INDEPENDENT,1
,Count of Voters in 3923:,106
3924,,
,INDEPENDENT,1
,DEMOCRATIC,259
,NO AFFILIATION,10
,LIBERTARIAN,1
,REPUBLICAN,24
,Count of Voters in 3924:,295
3925,,
,DEMOCRATIC,174
,INDEPENDENT,2
,REPUBLICAN,32
,NO AFFILIATION,9
,NON-PARTISAN,1
,Count of Voters in 3925:,218
3926,,
,INDEPENDENT,4
,GREEN,1
,DEMOCRATIC,188
,NON-PARTISAN,2
,LIBERTARIAN,2
,REPUBLICAN,29
,NO AFFILIATION,22
,Count of Voters in 3926:,248
3927,,
,INDEPENDENT,1
,NO AFFILIATION,23
,NO PARTY,2
,LIBERTARIAN,1
,REPUBLICAN,29
,DEMOCRATIC,162
,NON-PARTISAN,2
,Count of Voters in 3927:,220
3928,,
,DEMOCRATIC,198
,REPUBLICAN,10
,NO AFFILIATION,8
,FREEDOM,1
,GREEN,1
,Count of Voters in 3928:,218
3929,,
,NO AFFILIATION,4
,REPUBLICAN,20
,DEMOCRATIC,163
,INDEPENDENT,2
,Count of Voters in 3929:,189
3930,,
,INDEPENDENT,1
,LIBERTARIAN,1
,REPUBLICAN,22
,INDEPENDENCE,1
,DEMOCRATIC,169
,NON-PARTISAN,1
,NO AFFILIATION,24
,Count of Voters in 3930:,219
3931,,
,LIBERTARIAN,1
,REPUBLICAN,40
,NO AFFILIATION,4
,INDEPENDENT,2
,DEMOCRATIC,152
,GREEN,1
,Count of Voters in 3931:,200
3932,,
,LIBERTARIAN,2
,REPUBLICAN,10
,INDEPENDENT,1
,DEMOCRATIC,122
,GREEN,1
,NO AFFILIATION,9
,Count of Voters in 3932:,145
3933,,
,DEMOCRATIC,127
,REPUBLICAN,33
,INDEPENDENT,1
,NO AFFILIATION,7
,Count of Voters in 3933:,168
3934,,
,NO AFFILIATION,11
,INDEPENDENT,1
,REPUBLICAN,6
,DEMOCRATIC,110
,GREEN,1
,Count of Voters in 3934:,129
3935,,
,DEMOCRATIC,157
,NO AFFILIATION,18
,GREEN,2
,SOCIALIST,1
,INDEPENDENT,2
,NO PARTY,1
,REPUBLICAN,29
,Count of Voters in 3935:,210
3936,,
,NO AFFILIATION,2
,INDEPENDENT,2
,REPUBLICAN,28
,DEMOCRATIC,161
,Count of Voters in 3936:,193
3937,,
,INDEPENDENT,2
,NO AFFILIATION,12
,LIBERTARIAN,1
,REPUBLICAN,37
,OTHER,1
,DEMOCRATIC,156
,Count of Voters in 3937:,209
3938,,
,DEMOCRATIC,167
,GREEN,1
,LIBERAL,1
,NO PARTY,1
,LIBERTARIAN,1
,REPUBLICAN,25
,NO AFFILIATION,16
,INDEPENDENT,1
,Count of Voters in 3938:,213
3939,,
,DEMOCRATIC,178
,REPUBLICAN,30
,INDEPENDENT,2
,INDEPENDENT DEMOCRAT,1
,NO AFFILIATION,6
,Count of Voters in 3939:,217
3940,,
,NO AFFILIATION,12
,DEMOCRATIC,92
,REPUBLICAN,7
,INDEPENDENT,1
,NO PARTY,2
,Count of Voters in 3940:,114
3941,,
,DEMOCRATIC,138
,CONSTITUTIONAL,1
,NO AFFILIATION,8
,REPUBLICAN,47
,Count of Voters in 3941:,194
3942,,
,DEMOCRATIC,121
,LIBERTARIAN,1
,NO AFFILIATION,12
3942,,
,GREEN,1
,NON-PARTISAN,1
,REPUBLICAN,32
,INDEPENDENT,1
,Count of Voters in 3942:,169
3943,,
,REPUBLICAN,25
,DEMOCRATIC,116
,GREEN,1
,NON-PARTISAN,1
,INDEPENDENT,1
,NO AFFILIATION,7
,Count of Voters in 3943:,151
3944,,
,INDEPENDENT,1
,NO AFFILIATION,6
,DEMOCRATIC,125
,LIBERTARIAN,1
,NON-PARTISAN,2
,REPUBLICAN,39
,NO PARTY,1
,Count of Voters in 3944:,175
3945,,
,DEMOCRATIC,266
,GREEN,3
,NON-PARTISAN,1
,INDEPENDENT,3
,OTHER,1
,NO AFFILIATION,23
,INDEPENDENCE,1
,REPUBLICAN,34
,Count of Voters in 3945:,332
3946,,
,INDEPENDENT,6
,NO AFFILIATION,19
,OTHER,1
,DEMOCRATIC,282
,GREEN,1
,REPUBLICAN,42
,NO PARTY,1
,WHIG,1
,Count of Voters in 3946:,353
4001,,
,DEMOCRATIC,121
,NO AFFILIATION,3
,REPUBLICAN,17
,INDEPENDENT,1
,Count of Voters in 4001:,142
4002,,
,REPUBLICAN,6
,NO AFFILIATION,3
,DEMOCRATIC,188
,Count of Voters in 4002:,197
4003,,
,NO AFFILIATION,8
,DEMOCRATIC,331
,LIBERTARIAN,1
,OTHER,1
,REPUBLICAN,3
,Count of Voters in 4003:,344
4004,,
,INDEPENDENT,2
,REPUBLICAN,5
,NO PARTY,1
,OTHER,1
,NO AFFILIATION,6
,DEMOCRATIC,242
,Count of Voters in 4004:,257
4005,,
,REPUBLICAN,4
,UNKNOWN,1
,AMERICAN INDEPENDENT,1
,DEMOCRATIC,296
,GREEN,1
,LIBERTARIAN,1
,NO AFFILIATION,1
,Count of Voters in 4005:,305
4006,,
,DEMOCRATIC,146
,NO AFFILIATION,6
,REPUBLICAN,6
,Count of Voters in 4006:,158
4007,,
,REPUBLICAN,9
,NO AFFILIATION,13
,DEMOCRATIC,258
,NO PARTY,1
,Count of Voters in 4007:,281
4008,,
,INDEPENDENCE,1
,REPUBLICAN,4
,NO PARTY,1
,DEMOCRATIC,163
,NO AFFILIATION,7
,Count of Voters in 4008:,176
4009,,
,NO AFFILIATION,10
,DEMOCRATIC,197
,LIBERTARIAN,1
,UNKNOWN,2
,NO PARTY,1
,REPUBLICAN,4
,INDEPENDENT,1
,CONSTITUTIONAL,1
,Count of Voters in 4009:,217
4010,,
,UNKNOWN,1
,REPUBLICAN,6
,NO AFFILIATION,4
,DEMOCRATIC,103
,Count of Voters in 4010:,114
4011,,
,GREEN,1
,NON-PARTISAN,1
,REPUBLICAN,7
,NO AFFILIATION,1
,DEMOCRATIC,168
,Count of Voters in 4011:,178
4012,,
,DEMOCRATIC,154
,NO PARTY,4
,NO AFFILIATION,3
,REPUBLICAN,5
,Count of Voters in 4012:,166
4013,,
,REFORM,1
,REPUBLICAN,2
,INDEPENDENT,1
,UNKNOWN,1
,NO AFFILIATION,5
,DEMOCRATIC,221
,Count of Voters in 4013:,231
4014,,
,DEMOCRATIC,216
,LIBERTARIAN,2
,INDEPENDENT,1
,NO AFFILIATION,7
,REPUBLICAN,4
,OTHER,1
,UNKNOWN,1
,Count of Voters in 4014:,232
4015,,
,DEMOCRATIC,116
,INDEPENDENT,1
,NO AFFILIATION,2
,REPUBLICAN,6
,GREEN,1
,Count of Voters in 4015:,126
4016,,
,AMERICAN,1
,DEMOCRATIC,145
,NO AFFILIATION,7
,REPUBLICAN,9
,Count of Voters in 4016:,162
4017,,
,REPUBLICAN,11
,DEMOCRATIC,131
,NO AFFILIATION,6
,Count of Voters in 4017:,148
4018,,
,DEMOCRATIC,125
,NO AFFILIATION,6
,OTHER,1
,REPUBLICAN,1
,Count of Voters in 4018:,133
4019,,
,REPUBLICAN,17
,UNKNOWN,1
,NO AFFILIATION,5
,DEMOCRATIC,122
,NO PARTY,1
,Count of Voters in 4019:,146
4020,,
,OTHER,1
,DEMOCRATIC,94
,NO PARTY,1
,REPUBLICAN,9
,NO AFFILIATION,7
,Count of Voters in 4020:,112
4021,,
,INDEPENDENT,2
,REPUBLICAN,4
,NO AFFILIATION,6
,DEMOCRATIC,78
,NO PARTY,1
,Count of Voters in 4021:,91
4022,,
,NO PARTY,2
,REPUBLICAN,9
,UNKNOWN,1
,NO AFFILIATION,5
,DEMOCRATIC,129
,OTHER,1
,Count of Voters in 4022:,147
4023,,
,INDEPENDENT,1
,REPUBLICAN,8
,NO AFFILIATION,5
,DEMOCRATIC,157
,NO PARTY,1
,Count of Voters in 4023:,172
4024,,
,REPUBLICAN,9
,UNKNOWN,1
,NO AFFILIATION,8
,DEMOCRATIC,236
,Count of Voters in 4024:,254
4025,,
,NO AFFILIATION,6
,DEMOCRATIC,176
,UNKNOWN,1
,REPUBLICAN,9
,Count of Voters in 4025:,192
4026,,
,OTHER,1
,DEMOCRATIC,123
,INDEPENDENT,1
,NO AFFILIATION,3
,NO PARTY,1
,REPUBLICAN,6
,UNKNOWN,1
,Count of Voters in 4026:,136
4027,,
,REPUBLICAN,7
,INDEPENDENT,1
,NO AFFILIATION,5
,DEMOCRATIC,141
,NONE,1
,Count of Voters in 4027:,155
4028,,
,NO AFFILIATION,9
,NO PARTY,1
,DEMOCRATIC,252
,OTHER,1
,INDEPENDENT,2
,REPUBLICAN,15
,Count of Voters in 4028:,280
4029,,
,DEMOCRATIC,201
,REPUBLICAN,10
,NO PARTY,2
,NO AFFILIATION,7
,Count of Voters in 4029:,220
4030,,
,REPUBLICAN,4
,DEMOCRATIC,209
,NO AFFILIATION,5
,Count of Voters in 4030:,218
4031,,
,REPUBLICAN,3
,DEMOCRATIC,186
,OTHER,1
,NO AFFILIATION,2
,Count of Voters in 4031:,192
4032,,
,NO AFFILIATION,6
,DEMOCRATIC,209
,CONSTITUTION,1
,INDEPENDENT,1
,NO PARTY,1
,REPUBLICAN,8
,Count of Voters in 4032:,226
4033,,
,NO PARTY,1
,REPUBLICAN,4
,NO AFFILIATION,3
,DEMOCRATIC,97
,Count of Voters in 4033:,105
4034,,
,NO AFFILIATION,3
,DEMOCRATIC,125
,INDEPENDENT,1
,REPUBLICAN,5
,Count of Voters in 4034:,134
4035,,
,DEMOCRATIC,204
,INDEPENDENT,1
,NO AFFILIATION,10
,REPUBLICAN,8
,FREEDOM,1
,Count of Voters in 4035:,224
4036,,
,INDEPENDENT,2
,REPUBLICAN,7
,GREEN,1
,DEMOCRATIC,160
,NO AFFILIATION,5
,Count of Voters in 4036:,175
4037,,
,INDEPENDENCE,1
,NO AFFILIATION,15
,DEMOCRATIC,296
,NON-PARTISAN,1
,INDEPENDENT,2
,REPUBLICAN,14
,INDEPENDENT CONSERVATIVE,1
,Count of Voters in 4037:,330
4038,,
,DEMOCRATIC,377
,NO AFFILIATION,11
,INDEPENDENT,3
,REPUBLICAN,12
,Count of Voters in 4038:,403
4039,,
,NO PARTY,1
,REPUBLICAN,7
,UNKNOWN,1
,DEMOCRATIC,161
,NO AFFILIATION,6
,Count of Voters in 4039:,176
4040,,
,INDEPENDENT,2
,REPUBLICAN,19
,DEMOCRATIC,352
,NON-PARTISAN,1
,NO AFFILIATION,13
,Count of Voters in 4040:,387
4041,,
,NO PARTY,2
,REPUBLICAN,10
,NO AFFILIATION,3
,GREEN,1
,DEMOCRATIC,190
,Count of Voters in 4041:,206
4042,,
,DEMOCRATIC,236
,NO AFFILIATION,9
,INDEPENDENT,2
,OTHER,1
,REPUBLICAN,10
,Count of Voters in 4042:,258
4043,,
,LIBERTARIAN,2
,NO PARTY,1
,REPUBLICAN,12
,NO AFFILIATION,2
,DEMOCRATIC,159
,Count of Voters in 4043:,176
